energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.035,,0.1521654031959389,0.005655615823546982,X,L,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-01
8.616,,1.4177792400196458,0.014206459192841098,X,KA2,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-01
8.639,,2.7572525087896653,0.02415808273011152,X,KA1,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-01
9.61,,0.5916019988062794,0.0071424202191151965,X,KpB1,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-01
9.61,,0.5916019988062794,0.007142420219115197,X,KB,31,37,Ga,,0,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,2921.1,16,30,38,Zn,1-Mar-2012,E.A. McCutchan,2026-09-01

