energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.335,,6.1041002352,0.3384461530211091,X,L,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
4.54,,0.119,0.007,X,L,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
4.54,,0.202532504896,,X,L,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
28.318,,6.509029331609177,0.29084621478546635,X,KA2,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
28.613,,12.089578996302336,0.5372800091708975,X,KA1,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
29.458,,0.3,0.01,X,KA2,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
29.458,,0.4679965770827811,,X,KA2,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
29.778,,0.555,0.018,X,KA1,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
29.778,,0.8669814321652113,,X,KA1,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
32.395,,3.4830672692401983,0.15921064355181308,X,KpB1,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
32.68,,4.270240472088483,0.1944137858473223,X,KB,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
33.04,,0.7871732028482848,0.03997461532380455,X,KpB2,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,IT,86,2,,,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
33.726,,0.161,0.005,X,KpB1,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
33.726,,0.25133445206473126,,X,KpB1,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
34.03,,0.199,0.007,X,KB,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
34.03,,0.3106493827520078,,X,KB,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
34.414,,0.038,0.0015,X,KpB2,53,79,I,,0,,4+,2.295,,13,h,8262,46.8,B-,100,,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01
34.414,,0.05931493068727658,,X,KpB2,53,79,I,,120,20,(8-),1.387,,15,h,4993.2,54,B-,14,2,3575,4,54,78,Xe,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-08-01

