energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0.728,,0.0002608324496501562,0.00002631807573776149,X,L,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-07-24
6.391,,0.00297463718290505,0.000055898261392635265,X,KA2,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-07-24
6.404,,0.0058246273407187195,0.00010567513268549113,X,KA1,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-07-24
7.082,,0.0012037393868317317,0.000024994807816000326,X,KB,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-07-24
7.082,,0.0012037393868317317,0.000024994807816000326,X,KpB1,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-07-24

